Filename,HittingPosition,Tire_Pressure,Start_Time,End_Time,Duration,Comments
1901_6W-Unknown-POS1_Unknown_Empty_H,Tread,Unknown,5.9,7.2,1.3,
1901_6W-Unknown-POS1_Unknown_Empty_H,Side,Unknown,9,10.4,1.4,
1902_6W-Unknown-POS2_Unknown_Empty_H,Tread,Unknown,2.846,4.146,1.3,
1902_6W-Unknown-POS2_Unknown_Empty_H,Side,Unknown,9.153,10.553,1.4,
1903_6W-Unknown-POS3_Unknown_Empty_H,Tread,Unknown,3.519,5.019,1.5,
1903_6W-Unknown-POS3_Unknown_Empty_H,Side,Unknown,6.156,7.474,1.318,
1904_6W-Unknown-POS4_Unknown_Empty_H,Tread,Unknown,4.3,5.8,1.5,
1905_6W-Unknown-POS5_Unkown_Empty_H,Tread,Unknown,8.6,10.2,1.6,
1906_6W-Unknown-POS6_Unknown_Empty_H,Tread,Unknown,5,6.6,1.6,
1906_6W-Unknown-POS6_Unknown_Empty_H,Side,Unknown,8.16,9.61,1.45,
3867_6W-Unknown-POS1_Unknown_Empty_H,Tread,Unknown,1.778,3.488,1.71,
3867_6W-Unknown-POS1_Unknown_Empty_H,Side,Unknown,4.614,6.014,1.4,
3867_6W-Unknown-POS2_Unknown_Empty_H,Tread,Unknown,3.829,5.529,1.7,
3867_6W-Unknown-POS2_Unknown_Empty_H,Side,Unknown,7.118,8.648,1.53,
3867_6W-Unknown-POS3_Unknown_Empty_H,Tread,Unknown,2.176,3.576,1.4,
3867_6W-Unknown-POS3_Unknown_Empty_H,Side,Unknown,5.411,6.811,1.4,
3867_6W-Unknown-POS4_Unknown_Empty_H,Tread,Unknown,3.964,5.364,1.4,
3867_6W-Unknown-POS5_Unknown_Empty_H,Tread,Unknown,3.075,4.375,1.3,
3867_6W-Unknown-POS6_Unknown_Empty_H,Tread,Unknown,4,5.525,1.525,
3867_6W-Unknown-POS6_Unknown_Empty_H,Side,Unknown,6.87,8.17,1.3,
407501_6W-Unknown-POS1_Unknown_Empty_H,Tread,Unknown,2.015,3.402,1.387,
407501_6W-Unknown-POS1_Unknown_Empty_H,Side,Unknown,6.63,8.03,1.4,
407502_6W-Unknown-POS2_Unknown_Empty_H,Tread,Unknown,2.944,4.517,1.573,
407502_6W-Unknown-POS2_Unknown_Empty_H,Side,Unknown,7.037,8.375,1.338,
407503_6W-Unknown-POS3_Unknown_Empty_H,Tread,Unknown,4.053,5.482,1.429,
407503_6W-Unknown-POS3_Unknown_Empty_H,Side,Unknown,8.476,9.809,1.333,
407504_6W-Unknown-POS4_Unknown_Empty_H,Tread,Unknown,5.457,6.757,1.3,
407504_6W-Unknown-POS5_Unknown_Empty_H,Tread,Unknown,6.932,8.332,1.4,
407504_6W-Unknown-POS6_Unknown_Empty_H,Tread,Unknown,9.599,11.164,1.565,
407504_6W-Unknown-POS6_Unknown_Empty_H,Side,Unknown,14.239,15.559,1.32,
7601_6W-Unknown-POS1_Unknown_Empty_H,Tread,Unknown,1.64,3.04,1.4,
7601_6W-Unknown-POS1_Unknown_Empty_H,Side,Unknown,6.01,7.41,1.4,
7602_6W-Unknown-POS2_Unknown_Empty_H,Tread,Unknown,1.78,3.98,2.2,
7602_6W-Unknown-POS2_Unknown_Empty_H,Side,Unknown,7.15,8.95,1.8,
7603_6W-Unknown-POS3_Unknown_Empty_H,Tread,Unknown,1.512,3.882,2.37,
7603_6W-Unknown-POS3_Unknown_Empty_H,Side,Unknown,5.52,7.52,2,
7604_6W-Unknown-POS4_Unknown_Empty_H,Tread,Unknown,2.52,4.52,2,
7605_6W-Unknown-POS5_Unknown_Empty_H,Tread,Unknown,3.89,6.04,2.15,
7606_6W-Unknown-POS6_Unknown_Empty_H,Tread,Unknown,2.44,4.14,1.7,
7606_6W-Unknown-POS6_Unknown_Empty_H,Side,Unknown,5.745,7.545,1.8,
76201_6W-Unknown-POS1_Unknown_Empty_H,Tread,Unknown,6.435,7.816,1.381,
76201_6W-Unknown-POS1_Unknown_Empty_H,Side,Unknown,10.8,12.131,1.331,
76202_6W-Unknown-POS2_Unknown_Empty_H,Tread,Unknown,2.629,3.929,1.3,
76202_6W-Unknown-POS2_Unknown_Empty_H,Side,Unknown,15.956,17.049,1.093,
76203_6W-Unknown-POS3_Unknown_Empty_H,Tread,Unknown,9.73,10.985,1.255,
76203_6W-Unknown-POS3_Unknown_Empty_H,Side,Unknown,4.35,5.75,1.4,
76204_6W-Unknown-POS4_Unknown_Empty_H,Tread,Unknown,6.065,7.465,1.4,
76205_6W-Unknown-POS5_Unknown_Empty_H,Tread,Unknown,5.178,6.678,1.5,
76206_6W-Unknown-POS6_Unknown_Empty_H,Tread,Unknown,10.499,11.999,1.5,
76206_6W-Unknown-POS6_Unknown_Empty_H,Side,Unknown,20.249,21.799,1.55,
