Filename,Tire_Pressure,Start_Time,End_Time
01_11R22.5-900-710R_H,900,12,17
02_245-70R19.5-900-710R_H,900,11.5,14.5
03_225-80R17.5-900-710R_H,900,11,13.861
04_455-55R22.5-900-716U_H,900,11,14.209
05_11R22.5-850-710R_H,850,11.5,14
06_245-70R19.5-850-710R_H,850,9.5,12.5
07_225-80R17.5-850-710R_H,850,10.5,13.5
08_455-55R22.5-850-716U_H,850,11,15
09_11R22.5-800-710R_H,800,10.5,13
10_245-70R19.5-800-710R_H,800,9.5,12.409
11_225-80R17.5-800-710R_H,800,11,14
12_455-55R22.5-800-716U_H,800,10.5,15
13_11R22.5-700-710R_H,700,10.2,13.2
14_245-70R19.5-700-710R_H,700,11,13.7
15_225-80R17.5-700-710R_H,700,11,13.8
16_455-55R22.5-700-716U_H,700,11.5,15
17_11R22.5-600-710R_H,600,9.5,13
18_245-70R19.5-600-710R_H,600,9,11.973
19_225-80R17.5-600-710R_H,600,10.5,13.7
20_455-55R22.5-600-716U_H,600,11,14
21_11R22.5-500-710R_H,500,10.5,13.5
22_245-70R19.5-500-710R_H,500,9.5,12.5
23_225-80R17.5-500-710R_H,500,9.5,12.5
24_455-55R22.5-500-716U_H,500,11.5,15
26_11R22.5-900-101LZ_H,900,13,16.5
27_11R22.5-900-903ZW_H,900,14,17.5
28_11R22.5-900-MY377_H,900,13,16.5
30_11R22.5-800-101LZ_H,800,13,16.5
31_11R22.5-800-903ZW_H,800,10.5,14.5
32_11R22.5-800-MY377_H,800,10.5,13.3
34_11R22.5-700-101LZ_H,700,12,15
35_11R22.5-700-903ZW_H,700,11.4,14.2
36_11R22.5-700-MY377_H,700,12.5,15.3
38_11R22.5-600-101LZ_H,600,11,14
39_11R22.5-600-903ZW_H,600,11,13.8
40_11R22.5-600-MY377_H,600,11,13.8
42_225-80R17.5-900-710R_H,900,12,15
43_225-80R17.5-850-710R_H,850,10.7,13.7
44_225-80R17.5-800-710R_H,800,11.3,14.1
45_225-80R17.5-700-710R_H,700,10.4,12.9
46_225-80R17.5-600-710R_H,600,11.3,13.8
47_225-80R17.5-500-710R_H,500,11.3,14.1
48_455-55R22.5-900-716R_H,900,11.8,14.6
49_455-55R22.5-850-716R_H,850,12.5,15.5
50_455-55R22.5-800-716R_H,800,13,16
51_455-55R22.5-700-716R_H,700,12.5,15.3
52_455-55R22.5-600-716R_H,600,13.2,16
53_455-55R22.5-500-716R_H,500,15,17.8
54_11R22.5-900-710Rバフ50_H,900,14.2,17.8
55_11R22.5-800-710Rバフ50_H,800,12.6,16.1
56_11R22.5-700-710Rバフ50_H,700,13.9,17.9
57_11R22.5-600-710Rバフ50_H,600,14.2,17.9
58_11R22.5-500-710Rバフ50_H,500,12,15.8
59_11R22.5-900-710Rバフ100_H,900,15.5,19.2
60_11R22.5-800-710Rバフ100_H,800,14.8,18.5
61_11R22.5-700-710Rバフ100_H,700,15.2,19.2
62_11R22.5-600-710Rバフ100_H,600,13.1,17.1
63_11R22.5-500-710Rバフ100_H,500,12.3,16.3
