Filename,Tire_Pressure,Start_Time,End_Time
01_11R22.5-900-710R_H,900,2.991,5.646
02_245-70R19.5-900-710R_H,900,2.675,5.278
03_225-80R17.5-900-710R_H,900,2.721,5.417
04_455-55R22.5-900-716U_H,900,3.963,6.865
05_11R22.5-850-710R_H,850,2.758,5.164
06_245-70R19.5-850-710R_H,850,2.668,5.229
07_225-80R17.5-850-710R_H,850,3.203,6.018
08_455-55R22.5-850-716U_H,850,3.139,6.103
09_11R22.5-800-710R_H,800,2.58,4.981
10_245-70R19.5-800-710R_H,800,3.292,5.959
11_225-80R17.5-800-710R_H,800,2.499,5.062
12_455-55R22.5-800-716U_H,800,2.887,5.859
13_11R22.5-700-710R_H,700,2.855,5.501
14_245-70R19.5-700-710R_H,700,2.925,5.379
15_225-80R17.5-700-710R_H,700,2.784,5.286
16_455-55R22.5-700-716U_H,700,3.662,6.941
17_11R22.5-600-710R_H,600,2.635,5.435
18_245-70R19.5-600-710R_H,600,3.025,5.38
19_225-80R17.5-600-710R_H,600,2.895,5.341
20_455-55R22.5-600-716U_H,600,3.077,6.02
21_11R22.5-500-710R_H,500,2.922,5.639
22_245-70R19.5-500-710R_H,500,2.692,5.205
23_225-80R17.5-500-710R_H,500,2.703,5.325
24_455-55R22.5-500-716U_H,500,3.394,6.126
26_11R22.5-900-101LZ_H,900,3.389,6.218
27_11R22.5-900-903ZW_H,900,3.846,6.714
28_11R22.5-900-MY377_H,900,4.313,6.876
30_11R22.5-800-101LZ_H,800,3.376,5.943
31_11R22.5-800-903ZW_H,800,3.009,5.455
32_11R22.5-800-MY377_H,800,3.466,6.08
34_11R22.5-700-101LZ_H,700,4.063,6.843
35_11R22.5-700-903ZW_H,700,3.744,6.084
36_11R22.5-700-MY377_H,700,3.21,5.877
38_11R22.5-600-101LZ_H,600,3.191,6.025
39_11R22.5-600-903ZW_H,600,3.907,6.586
40_11R22.5-600-MY377_H,600,3.148,5.605
42_225-80R17.5-900-710R_H,900,3.867,6.531
43_225-80R17.5-850-710R_H,850,3.396,6.121
44_225-80R17.5-800-710R_H,800,3.823,6.136
45_225-80R17.5-700-710R_H,700,2.994,5.474
46_225-80R17.5-600-710R_H,600,2.438,5.71
47_225-80R17.5-500-710R_H,500,3.678,5.997
48_455-55R22.5-900-716R_H,900,4.345,7.347
49_455-55R22.5-850-716R_H,850,3.791,6.641
50_455-55R22.5-800-716R_H,800,4.42,7.28
51_455-55R22.5-700-716R_H,700,4.581,7.19
52_455-55R22.5-600-716R_H,600,4.549,7.19
53_455-55R22.5-500-716R_H,500,4.469,6.986
54_11R22.5-900-710Rバフ50_H,900,4.034,7.481
55_11R22.5-800-710Rバフ50_H,800,3.77,7.169
56_11R22.5-700-710Rバフ50_H,700,4.971,8.85
57_11R22.5-600-710Rバフ50_H,600,3.928,7.566
58_11R22.5-500-710Rバフ50_H,500,4.588,8.554
59_11R22.5-900-710Rバフ100_H,900,4.846,8.474
60_11R22.5-800-710Rバフ100_H,800,4.131,7.52
61_11R22.5-700-710Rバフ100_H,700,5.105,9.04
62_11R22.5-600-710Rバフ100_H,600,3.453,7.095
63_11R22.5-500-710Rバフ100_H,500,4.771,8.689
